Gene,1,2,3,4,5,6,7,8,9,10,11,12
ISG15,0.00182262847495458,0.00280453291661291,0.00221081373390185,1.06037135604647e-26,5.83352061077026e-13,0.000245359186991465,0.00190327114893733,3.1972275601023e-20,0.0064320137801483,0.000845488542499655,0.00591579031720953,1.73193324807169e-59
ERRFI1,0.00218971967644445,0.00020140348818328,5.21955778076555e-40,0.00133430016848687,0.00174859828259474,0.000199402856456133,0.00254963548526583,0.000564802630420667,0.00340655721398253,0.00145373470078125,0.0048754018206739,9.82121552606239e-06
FBXO2,1.97476745367038e-271,9.36573682529862e-131,1.49492359805489e-79,8.59485411809367e-67,4.58395428083504e-221,6.36529184684152e-05,1.33588833825141e-164,0.00110846712754399,2.07142750801811e-36,0.00567465404042933,0.00337728201177133,1.43386903928696e-84
MFAP2,0.000567877295288824,5.61960554877276e-59,1.98897464008819e-23,0.000515969477585443,1.90062395747066e-170,1.22429061692333e-231,1.95359101793173e-53,0.004673653088258,0.00878859445365912,0.00575237203932645,0.00186370978917664,0.00688831841802262
ID3,0.00291572247663613,0.00616843531094033,0.00463250054184192,0.00323020096290916,0.0048653816937889,0.000576168220271502,0.00584868688249645,0.0105618366674201,0.0102184768466972,0.00657640690972544,0.00407259590577124,0.000576765387631918
CLIC4,0.00531062682429272,0.00116335002872583,0.000743515599749955,0.00279436804534452,0.00278344493232583,0.00278011075716224,0.00305383000645208,0.000374229408172146,0.00092598115993407,0.000674334952421469,0.00237700573977239,0.00232789433641805
STMN1,1.27276821720357e-26,0.00365240889078608,0.00150300797336051,2.81619056106991e-31,1.24997897730979e-12,6.48422707783557e-21,0.000503321249864707,0.0108815327537514,0.00690765238046873,0.0020331764336318,0.00172316804116883,5.77465560371216e-06
IFI6,1.32147454797515e-61,0.000245573174256774,0.00190349776949954,2.90677880881574e-59,7.54175457326045e-19,0.000731002670524293,0.00056251706342333,1.60596585467113e-18,0.00673179313315053,0.00303663330481226,0.00644986146888258,3.23046247329651e-132
ATP5IF1,0.00320761168296719,0.00395689344995257,0.0033077580364852,0.00278783878024774,0.00252442064658621,0.00288575524823916,0.00271807981321417,6.83047417406308e-268,1.05515443228215e-67,0,0,3.6507601702792e-24
SERINC2,0.00439513298686926,0.00156222922791133,5.18510387166363e-35,0.00188062035776718,0.00128782547146936,0.000108256546953665,0.00123787925038356,0.00138428768809011,0.00405754462713146,0.000597845180198003,8.11869401518651e-73,0.000807472710075353
MARCKSL1,8.16799634810834e-35,0.000587970167129991,0.00440248324574436,1.32154043674778e-37,0.00433365088645556,0.000972580644593293,3.25416002432993e-79,0.0112631435674989,0.00806800231704115,0.00237695613197444,2.38630363147388e-28,2.13309881863417e-55
COL9A2,0,1.62660506720784e-211,5.37724949974042e-92,1.46719459391474e-107,8.10696841175306e-309,1.43919243540706e-209,9.42575816393835e-281,0.00174624379460344,0.0065732792646635,0.0126580382563434,0.0017388034202394,2.84642254697217e-38
PLPP3,0.000568584453170845,1.14273798321356e-11,0.00305369549810075,0.00226583354725814,0.00464245845287673,0.000620409381428968,0.0041231627445594,2.8278564220542e-265,6.73506227913736e-66,0,0,1.96895047684415e-30
JUN,0.00112511292244063,0.000914809449634155,0.00230757322942902,0.00187150778488619,0.00258210254280979,0.00447988323304536,0.000308638989107811,0.00189949201528516,0.00451236119752304,0.000237204119847351,0.00312668606836916,7.09049711131112e-14
LEPR,2.71633695965293e-33,5.51640676003488e-102,0.00343956100949528,0.000901800902896884,0.000349858167162073,0.00124269667081656,0.00462020335980599,2.76716459113308e-195,3.8717534503296e-54,0,4.94065645841247e-324,7.17014436097992e-45
NEXN,0.00270223819370667,0.00397871883214969,0.00413082380416182,2.99582903966342e-09,0.000951640848113081,2.9260369769302e-06,0.00363774762100393,0.0012486604345882,0.000315162915103588,6.70906377025541e-25,1.64434114663766e-54,0.00333888256017214
DDAH1,0.00476664825440572,1.8266751287244e-18,2.16456257443806e-18,1.74563910337187e-50,0.00205100378227931,3.30112132812819e-77,0.00173111783362343,0.000348940087663464,0.00387145407981161,0.00132880554876433,9.68990906109702e-27,0.00374329912060113
CYR61,0.0028809833532846,0.00483242208047778,0.00107936151466503,3.12894540915826e-24,0.00446658064658711,7.03957918134861e-54,0.00437190885267048,0.00223766491207197,0.0120428750966023,0.00856919080831817,0.00372036997197802,0.00675375647527338
GCLM,0.000621866263346743,0.00153766662718504,2.04776417407859e-26,0.00355458655934843,0.00335731451680306,0.00399430650131564,8.29967486218685e-06,0.000253295165260404,1.09541251122989e-31,3.3673581244877e-83,0.00219204635637486,0.00211257288862509
COL11A1,5.16302263900687e-81,4.26219463360535e-110,0.00342702326226696,3.62198489908861e-29,2.33028907095901e-22,6.24302590983073e-94,3.51141875276575e-11,0.00155087083209004,0.00214985835461238,0.010553446195496,0.00139447614288563,0.00152302454446235
OLFML3,3.02866661957597e-64,0.000799338012264887,0.00888315768522253,1.27521469250006e-14,0.000608765958945871,8.79901726269689e-11,0.000211805586565384,0.000808102473221653,0.00051799722604774,1.5639146228895e-122,1.40770353933629e-90,4.35423756813679e-28
ITGA10,1.10161997472848e-42,0.0014358929277058,0.00129043930574378,0.00212175107084239,0.000180993967970853,1.34003745756887e-92,0.000297223192274457,5.19864594503314e-21,0.00134422678739823,0.00482030323383412,0.00519162547122489,5.54502824621019e-07
TXNIP,5.57441303215706e-32,6.33879446201792e-104,0.00590571740587811,0.00063592237800997,0.00143205166097823,0.00176545794382995,0.00261039578426792,0.000367832705886943,1.67581774144846e-11,2.09410194662971e-116,0.00153973958561588,6.1422559826816e-45
S100A10,0.00312780162938923,0.00726228458322941,1.01059206844624e-21,0.00693900815856932,0.0002711831389957,0.0036960274740355,0.00474702425260284,0.000903535635549614,0.00561336937550584,0.00561506268683386,0.00763829888538923,0.00824409297922304
S100A11,0.00574628507481839,0.00767751666102225,0.0053339771427425,0.00449988438417449,0.00237033213588209,0.00632321174847793,0.00481369742367023,0.00642441069679189,0.00549223338375888,0.00337918036758864,0.00503322174853112,0.00739500206356366
